Reference, Quantity, Value, Footprint, Datasheet, Value1, Value2, digikey, Manufacturer, pn, manf_num
B101 B102 B103 B104 ,4,"TEST_1P","rklib:MountingHole_3.2mm_M3_DIN965_Pad","","-","-","-","","",""
C103 ,1,"CAP_5n60_50V_X7R_0805","rklib:C0805-X7R","","5n60","10% 50V X7R","311-1134-1-ND","Yageo","CC0805KRX7R9BB562",""
C101 C104 C111 C112 C114 C117 C119 C120 C122 C123 C125 C127 C132 C137 C259 C260 C337 C360 C409 C410 C412 C414 C415 C502 ,24,"CAP_10u0_25V_X5R_0805","rklib:C0805-X7R","","10u0","20% 25V X5R","490-10748-1-ND","Murata Electronics North America","GRM21BR61E106MA73L",""
C102 C105 C109 C110 C113 C118 C121 C124 C128 C129 C130 C131 C133 C134 C135 C136 C220 C230 C234 C242 C249 C261 C262 C264 C273 C274 C275 C276 C277 C278 C279 C280 C320 C328 C336 C344 C352 C361 C362 C363 C364 C365 C366 C367 C368 C369 C402 C403 C404 C405 C406 C407 C408 C411 C413 C501 C503 ,57,"CAP_100n_50V_X7R_0805","rklib:C0805-X7R","","100n","5% 50V X7R","399-1170-1-ND","KEMET","C0805C104K5RACTU",""
C106 ,1,"CAP_150p_50V_C0G_0805","rklib:C0805-X7R","","150p","5% 50V C0G","399-1125-1-ND","KEMET","C0805C151J5GACTU",""
C107 C108 ,2,"CAP_22p0_50V_C0G_NP0_0805","rklib:C0805-X7R","","22p0","5% 50V C0G/NP0","399-1113-1-ND","KEMET","C0805C220J5GACTU",""
C115 C116 C126 ,3,"330u_20%_25V_ALUM_RADIAL","rklib:RD3.5_D8_L14","","330u","20% 25V","732-8635-1-ND","Wurth Electronics Inc.","860010474012",""
C201 C202 C209 C210 C215 C216 C225 C226 C235 C236 C245 C246 C253 C254 C267 C268 ,16,"CAP_1n00_5%_50V_PPS_0805","rklib:C0805-X7R","","1n00","5% 50V PPS","PCF1328CT-ND","Panasonic Electronic Components","ECH-U1H102JX5",""
C203 C204 C211 C212 C217 C218 C219 C227 C228 C229 C233 C237 C238 C241 C247 C248 C255 C256 C269 C270 C301 C302 C309 C310 C314 C315 C321 C324 C325 C329 C330 C331 C340 C341 C345 C346 C347 C353 C356 C357 ,40,"CAP_100u_20%_25V_ALUM_RADIAL","rklib:RD2_D5_L11","","100u","20% 25V","UVY1E101MDD-ND","Nichicon","UVY1E101MDD",""
C205 C206 C213 C214 C221 C222 C231 C232 C239 C240 C251 C252 C257 C258 C271 C272 ,16,"CAP_100p_50V_C0G_NP0_0805","rklib:C0805-X7R","","100p","5% 50V C0G/NP0","399-1122-1-ND","KEMET","C0805C101J5GACTU",""
